data,latitude,longitude,temperatura_c,precipitacao_mm,umidade_pct,radiacao_mj_m2,vento_kmh,std_temperatura_c,std_precipitacao_mm,std_umidade_pct,std_radiacao_mj_m2,std_vento_kmh
2026-07-21,-23.7,-46.8,19.959,1.112,68.699,16.321,14.541,2.461,3.298,11.299,3.383,3.056
2026-07-21,-23.7,-46.5,16.864,2.619,81.773,14.453,14.02,2.594,3.887,9.794,4.08,2.558
2026-07-21,-23.7,-46.4,16.807,2.848,82.248,14.326,14.197,2.572,4.192,9.684,4.188,2.746
2026-07-21,-23.6,-46.8,21.065,0.205,62.579,16.813,14.329,2.133,0.87,9.346,2.516,3.121
2026-07-21,-23.6,-46.4,19.746,0.117,66.41,16.247,15.239,2.356,0.431,9.387,2.026,2.599
2026-07-21,-23.6,-46.3,18.568,2.196,74.86,15.127,14.655,2.504,4.335,11.762,4.19,2.269
2026-07-21,-23.5,-46.8,20.66,0.94,65.678,16.39,14.273,2.221,3.055,11.152,3.441,2.783
2026-07-21,-23.5,-46.7,21.016,0.355,62.636,16.81,14.169,2.186,1.595,9.657,2.962,2.821
2026-07-21,-23.5,-46.6,21.097,0.234,62.063,16.865,14.01,2.124,1.027,9.179,2.752,2.933
2026-07-21,-23.5,-46.4,21.342,0.11,59.014,16.549,14.917,1.995,0.652,9.532,2.02,2.579
2026-07-21,-23.5,-46.3,20.556,0.134,62.653,16.314,14.957,2.367,0.687,10.074,1.907,2.251
2026-07-21,-23.4,-46.8,18.34,2.399,76.155,15.177,14.151,2.346,4.628,10.198,4.056,2.218
2026-07-21,-23.4,-46.7,18.135,2.547,77.037,14.846,14.462,2.272,4.603,9.835,4.163,2.442
2026-07-21,-23.4,-46.6,18.153,2.355,76.844,14.937,14.339,2.277,4.362,9.888,4.238,2.463
2026-07-21,-23.4,-46.5,18.324,1.982,75.746,15.672,14.172,2.295,4.183,9.784,4.26,2.166
2026-07-21,-23.4,-46.4,18.989,1.757,72.999,15.809,14.633,2.334,4.198,10.617,3.928,2.694
2026-07-22,-23.8,-46.8,18.198,2.363,76.923,14.9,14.171,2.601,3.834,12.067,4.03,2.09
2026-07-22,-23.8,-46.7,17.441,2.647,80.055,14.257,13.801,2.674,3.794,10.867,4.002,2.61
2026-07-22,-23.8,-46.6,16.253,2.055,84.158,14.089,13.553,2.438,2.715,5.782,3.224,2.948
2026-07-22,-23.8,-46.5,16.258,2.055,84.167,14.089,13.56,2.431,2.715,5.772,3.224,2.942
2026-07-22,-23.7,-46.8,20.884,0.835,63.381,16.433,14.839,2.204,3.019,12.385,3.255,3.188
2026-07-22,-23.7,-46.5,16.602,2.026,83.509,13.909,13.634,2.059,2.745,6.146,3.432,2.935
2026-07-22,-23.7,-46.4,16.32,1.981,84.185,13.581,13.923,2.083,2.612,5.857,3.592,2.929
2026-07-22,-23.6,-46.8,21.592,0.24,58.351,17.041,14.911,2.122,1.194,10.723,2.28,2.999
2026-07-22,-23.6,-46.4,20.967,0.274,60.322,16.095,15.153,2.347,1.35,11.357,2.119,2.391
2026-07-22,-23.6,-46.3,18.906,1.873,74.174,15.42,14.259,2.535,3.675,12.519,3.924,2.43
2026-07-22,-23.5,-46.8,21.214,0.864,61.788,16.626,14.603,2.09,2.865,12.841,3.291,2.763
2026-07-22,-23.5,-46.7,21.577,0.233,58.131,17.123,14.628,2.122,1.202,10.57,2.357,2.651
2026-07-22,-23.5,-46.6,21.647,0.185,57.466,17.097,14.674,2.149,1.092,10.413,2.296,2.86
2026-07-22,-23.5,-46.4,21.601,0.284,58.425,16.979,14.655,2.218,1.394,10.751,2.288,2.526
2026-07-22,-23.5,-46.3,20.944,0.273,60.266,16.366,14.923,2.403,1.381,11.503,2.249,2.435
2026-07-22,-23.4,-46.8,18.951,2.325,73.387,15.154,14.161,2.652,4.322,13.062,4.008,2.368
2026-07-22,-23.4,-46.7,18.011,2.447,77.004,14.601,14.318,2.354,4.213,10.257,4.069,2.254
2026-07-22,-23.4,-46.6,18.003,2.431,77.149,14.549,14.278,2.354,4.201,10.207,4.195,2.259
2026-07-22,-23.4,-46.5,18.378,1.963,75.605,15.393,13.991,2.448,3.691,10.747,4.12,2.153
2026-07-22,-23.4,-46.4,19.475,1.892,71.334,15.697,14.154,2.483,3.961,13.192,4.153,2.528
2026-07-23,-23.8,-46.8,18.329,2.625,76.298,14.826,14.169,2.818,4.094,13.703,4.311,2.19
2026-07-23,-23.8,-46.7,17.08,2.482,82.162,13.966,13.483,2.433,3.443,8.427,3.66,2.726
2026-07-23,-23.8,-46.6,16.832,2.034,82.975,13.219,14.453,2.015,3.27,6.464,3.695,3.31
2026-07-23,-23.8,-46.5,16.852,1.847,82.946,13.234,14.387,2.017,2.732,6.451,3.702,3.286
2026-07-23,-23.7,-46.8,20.721,2.172,65.28,15.697,14.63,2.763,4.655,15.564,4.498,2.699
2026-07-23,-23.7,-46.5,17.076,1.928,82.545,13.501,14.176,1.923,2.794,6.628,3.649,3.252
2026-07-23,-23.7,-46.4,16.942,1.988,83.339,13.598,14.52,1.995,3.17,6.308,3.505,3.247
2026-07-23,-23.6,-46.8,22.012,0.423,57.183,17.273,14.833,2.254,1.944,11.728,2.48,2.971
2026-07-23,-23.6,-46.4,21.278,0.324,60.278,16.821,14.733,2.287,1.437,11.293,2.496,2.648
2026-07-23,-23.6,-46.3,19.055,1.996,73.475,15.497,14.281,2.652,3.8,13.513,4.022,2.58
2026-07-23,-23.5,-46.8,20.845,1.895,64.405,15.84,14.626,2.714,4.289,15.382,4.336,2.876
2026-07-23,-23.5,-46.7,22.195,0.209,55.778,17.393,14.895,2.12,1.277,10.634,2.203,3.23
2026-07-23,-23.5,-46.6,22.202,0.208,55.732,17.428,14.578,2.259,1.458,11.3,2.222,2.917
2026-07-23,-23.5,-46.4,21.97,0.296,57.441,17.4,14.594,2.235,1.516,11.369,2.336,2.723
2026-07-23,-23.5,-46.3,21.357,0.344,59.798,16.91,14.776,2.369,1.487,11.442,2.501,2.678
2026-07-23,-23.4,-46.8,19.501,2.46,72.179,15.233,14.137,2.606,4.642,13.511,4.116,2.611
2026-07-23,-23.4,-46.7,18.648,2.492,75.253,14.959,14.06,2.6,4.206,11.73,4.376,2.313
2026-07-23,-23.4,-46.6,18.646,2.469,75.431,15.01,13.994,2.552,4.201,11.459,4.465,2.333
2026-07-23,-23.4,-46.5,18.737,2.273,74.35,15.141,14.031,2.65,4.129,12.951,4.277,2.431
2026-07-23,-23.4,-46.4,20.036,1.981,68.227,15.646,14.403,2.609,4.373,14.706,4.24,2.517
2026-07-24,-23.8,-46.8,18.616,2.921,76.108,14.843,13.775,2.959,4.485,13.291,4.388,2.219
2026-07-24,-23.8,-46.7,17.044,2.559,82.473,13.95,13.549,2.203,4.222,6.06,3.363,3.187
2026-07-24,-23.8,-46.6,16.843,1.702,82.869,14.772,13.626,2.292,2.743,5.109,3.866,3.45
2026-07-24,-23.8,-46.5,16.906,1.661,82.834,14.868,13.48,2.341,2.732,5.019,3.804,3.411
2026-07-24,-23.7,-46.8,20.817,1.874,63.746,15.628,14.852,2.627,4.262,15.893,4.096,2.778
2026-07-24,-23.7,-46.5,17.375,2.082,82.711,14.491,13.643,2.024,3.523,5.612,3.315,3.173
2026-07-24,-23.7,-46.4,17.088,2.062,82.88,14.065,13.995,2.13,3.565,5.693,3.734,3.264
2026-07-24,-23.6,-46.8,21.907,0.537,57.755,17.134,14.786,2.503,2.073,13.228,2.787,2.964
2026-07-24,-23.6,-46.4,21.436,0.583,59.599,16.944,14.688,2.565,2.516,12.794,2.935,2.597
2026-07-24,-23.6,-46.3,19.405,2.358,72.669,15.286,14.302,2.784,4.205,14.591,4.408,2.828
2026-07-24,-23.5,-46.8,20.865,1.839,64.054,15.862,14.566,2.687,4.213,15.478,4.092,2.851
2026-07-24,-23.5,-46.7,22.124,0.29,56.253,17.001,15.29,2.442,1.544,12.527,2.622,3.462
2026-07-24,-23.5,-46.6,22.374,0.299,55.043,17.13,15.407,2.342,1.557,12.267,2.592,3.583
2026-07-24,-23.5,-46.4,22.074,0.488,56.57,16.977,15.228,2.391,2.028,12.405,2.778,3.501
2026-07-24,-23.5,-46.3,21.518,0.489,59.081,16.937,14.925,2.548,2.377,12.805,2.735,2.872
2026-07-24,-23.4,-46.8,19.87,2.242,70.886,15.451,13.908,2.658,4.241,13.268,4.293,2.5
2026-07-24,-23.4,-46.7,18.832,2.64,75.124,15.1,13.725,2.615,4.586,11.591,4.44,2.367
2026-07-24,-23.4,-46.6,18.79,2.677,75.288,15.013,13.682,2.611,4.617,11.656,4.576,2.404
2026-07-24,-23.4,-46.5,19.137,2.42,72.987,15.133,13.926,2.705,4.387,13.834,4.396,2.397
2026-07-24,-23.4,-46.4,20.397,1.892,65.503,15.584,14.775,2.601,4.486,15.08,4.345,2.871
2026-07-25,-23.8,-46.8,18.862,2.535,74.965,15.275,13.681,2.888,4.176,12.986,4.304,2.424
2026-07-25,-23.8,-46.7,16.766,1.161,81.99,15.913,12.767,2.565,1.919,4.937,2.568,3.12
2026-07-25,-23.8,-46.6,17.028,0.926,81.513,16.167,13.036,2.503,1.852,5.672,2.933,3.541
2026-07-25,-23.8,-46.5,17.096,0.976,81.499,16.081,13.058,2.48,1.93,5.648,2.991,3.514
2026-07-25,-23.7,-46.8,20.932,1.84,63.682,15.953,14.895,2.663,4.209,15.797,4.164,3.034
2026-07-25,-23.7,-46.5,18.143,1.04,80.462,15.888,13.23,2.379,2.003,5.464,3.151,3.406
2026-07-25,-23.7,-46.4,17.515,1.047,81.36,15.918,13.219,2.484,1.989,5.699,3.126,3.392
2026-07-25,-23.6,-46.8,21.719,0.652,58.509,16.968,14.731,2.596,2.349,13.432,3.254,3.081
2026-07-25,-23.6,-46.4,21.089,1.071,61.714,16.375,14.793,2.798,3.2,14.816,3.95,2.869
2026-07-25,-23.6,-46.3,19.717,2.173,71.482,15.494,14.25,2.642,4.051,14.32,4.342,2.939
2026-07-25,-23.5,-46.8,20.874,1.709,63.776,16.034,14.553,2.696,4.062,15.269,4.075,2.953
2026-07-25,-23.5,-46.7,21.995,0.329,56.745,17.163,14.787,2.524,1.672,12.488,2.828,3.084
2026-07-25,-23.5,-46.6,22.07,0.33,56.223,17.043,14.82,2.568,1.671,12.802,2.834,3.032
2026-07-25,-23.5,-46.4,21.674,0.671,58.717,16.872,14.647,2.717,2.35,14.003,3.277,2.93
2026-07-25,-23.5,-46.3,21.566,0.687,59.127,16.877,14.857,2.553,2.694,13.301,3.152,3.012
2026-07-25,-23.4,-46.8,20.221,1.908,68.585,15.919,13.99,2.658,4.256,13.478,4.138,2.638
2026-07-25,-23.4,-46.7,19.123,2.24,73.872,15.724,13.517,2.714,4.143,11.934,4.355,2.453
2026-07-25,-23.4,-46.6,19.079,2.383,74.233,15.574,13.452,2.737,4.335,11.996,4.493,2.37
2026-07-25,-23.4,-46.5,19.69,2.222,71.282,15.463,14.086,2.616,4.174,13.758,4.348,2.809
2026-07-25,-23.4,-46.4,20.708,1.859,64.644,15.907,14.501,2.647,4.416,15.316,4.316,2.552
2026-07-26,-23.8,-46.8,19.268,2.188,73.353,15.822,13.473,2.889,4.1,12.781,4.091,2.23
2026-07-26,-23.8,-46.7,17.179,1.204,81.745,15.749,12.779,2.263,2.321,4.936,3.391,2.957
2026-07-26,-23.8,-46.6,17.232,1.09,81.642,15.87,13.012,2.302,2.164,5.188,3.381,3.265
2026-07-26,-23.8,-46.5,17.291,1.13,81.399,15.759,12.94,2.332,2.212,5.32,3.453,3.342
2026-07-26,-23.7,-46.8,21.06,1.577,62.898,16.199,14.666,2.624,3.821,15.266,4.102,2.864
2026-07-26,-23.7,-46.5,18.169,1.554,79.875,15.38,12.564,2.465,2.781,7.926,3.981,2.941
2026-07-26,-23.7,-46.4,17.987,1.168,80.649,15.78,12.512,2.336,2.264,5.077,3.481,3.308
2026-07-26,-23.6,-46.8,21.265,1.419,62.101,16.377,14.487,2.691,3.823,14.959,3.991,3.055
2026-07-26,-23.6,-46.4,20.362,1.959,66.031,15.607,14.655,2.994,4.365,16.184,4.499,2.815
2026-07-26,-23.6,-46.3,20.24,1.732,67.924,16.044,14.435,2.636,4.133,14.353,4.269,2.869
2026-07-26,-23.5,-46.8,21.168,1.477,62.495,16.367,14.535,2.487,3.827,14.675,3.983,2.979
2026-07-26,-23.5,-46.7,22.132,0.315,55.776,17.177,14.834,2.443,1.653,12.165,2.762,3.256
2026-07-26,-23.5,-46.6,22.205,0.326,55.38,17.059,14.922,2.465,1.652,12.239,2.751,3.297
2026-07-26,-23.5,-46.4,21.232,1.5,61.987,16.263,14.589,2.766,4.0,15.436,4.242,3.128
2026-07-26,-23.5,-46.3,21.004,1.718,63.264,16.024,14.52,2.891,4.215,15.726,4.397,2.879
2026-07-26,-23.4,-46.8,20.694,1.461,65.983,16.54,13.97,2.523,3.795,12.618,4.137,2.842
2026-07-26,-23.4,-46.7,19.861,1.759,71.465,16.397,13.488,2.536,3.823,11.193,4.089,2.841
2026-07-26,-23.4,-46.6,19.872,1.797,71.455,16.183,13.559,2.536,3.815,11.433,4.034,3.108
2026-07-26,-23.4,-46.5,20.307,1.646,68.169,16.166,14.074,2.603,3.906,13.133,4.396,2.899
2026-07-26,-23.4,-46.4,20.841,1.626,63.821,16.244,14.548,2.6,4.199,14.821,4.278,2.731
2026-07-27,-23.8,-46.8,20.352,1.168,69.21,16.93,13.403,2.471,3.047,11.046,3.586,2.952
2026-07-27,-23.8,-46.7,17.897,0.895,80.399,15.957,12.668,2.429,1.91,5.009,3.127,3.322
2026-07-27,-23.8,-46.6,17.784,1.157,80.901,15.792,12.627,2.405,2.232,5.172,3.493,3.41
2026-07-27,-23.8,-46.5,18.017,0.862,80.177,16.092,12.686,2.431,1.848,5.305,3.136,3.511
2026-07-27,-23.7,-46.8,20.876,1.479,63.809,16.198,14.457,2.687,3.561,14.988,4.267,2.724
2026-07-27,-23.7,-46.5,18.46,1.0,78.838,16.153,12.597,2.458,2.118,7.331,3.366,3.189
2026-07-27,-23.7,-46.4,18.352,0.769,79.804,16.191,12.317,2.457,1.671,5.138,3.105,3.435
2026-07-27,-23.6,-46.8,21.06,1.4,62.68,16.178,14.572,2.738,3.446,14.979,4.109,3.253
2026-07-27,-23.6,-46.4,20.3,1.624,65.575,15.854,14.434,2.772,3.752,15.188,4.262,2.524
2026-07-27,-23.6,-46.3,20.636,1.364,65.168,16.372,14.485,2.565,3.54,14.072,4.265,3.008
2026-07-27,-23.5,-46.8,21.064,1.225,62.684,16.447,14.425,2.558,3.27,14.345,4.064,3.039
2026-07-27,-23.5,-46.7,22.187,0.339,55.531,17.075,14.958,2.452,1.658,12.26,2.729,3.276
2026-07-27,-23.5,-46.6,22.27,0.336,55.145,17.064,14.918,2.462,1.658,12.338,2.704,3.247
2026-07-27,-23.5,-46.4,20.896,1.378,63.331,16.143,14.513,2.749,3.401,15.103,4.22,3.013
2026-07-27,-23.5,-46.3,20.733,1.441,64.076,16.105,14.53,2.765,3.457,15.244,4.24,2.928
2026-07-27,-23.4,-46.8,21.279,0.75,61.808,17.099,14.017,2.126,2.334,12.206,3.33,2.665
2026-07-27,-23.4,-46.7,20.704,0.839,66.19,17.217,13.7,2.223,2.465,10.651,3.439,3.074
2026-07-27,-23.4,-46.6,20.679,0.889,66.228,17.05,13.715,2.274,2.556,11.036,3.582,3.1
2026-07-27,-23.4,-46.5,20.942,0.857,63.509,16.951,14.305,2.251,2.655,12.232,3.754,3.131
2026-07-27,-23.4,-46.4,21.011,1.475,62.48,16.341,14.517,2.635,3.743,15.108,4.385,2.708
2026-07-28,-23.8,-46.8,20.975,0.717,64.789,17.05,13.997,2.276,2.192,11.061,3.454,3.172
2026-07-28,-23.8,-46.7,17.814,1.705,80.446,14.795,13.28,2.21,3.353,7.436,3.839,2.786
2026-07-28,-23.8,-46.6,17.436,2.192,82.273,13.856,13.426,1.99,3.905,5.835,3.984,3.281
2026-07-28,-23.8,-46.5,17.734,1.676,80.687,14.698,13.465,2.181,3.014,7.746,4.043,2.801
2026-07-28,-23.7,-46.8,20.993,1.357,63.281,16.349,14.457,2.629,3.36,14.788,4.12,2.883
2026-07-28,-23.7,-46.5,18.628,1.624,77.207,15.952,12.954,2.568,3.423,9.47,3.961,2.844
2026-07-28,-23.7,-46.4,18.007,1.618,80.07,15.126,13.132,2.326,3.303,7.589,3.831,2.995
2026-07-28,-23.6,-46.8,21.007,1.32,62.527,16.205,14.551,2.73,3.367,14.838,4.1,3.1
2026-07-28,-23.6,-46.4,20.475,1.499,64.59,16.125,14.379,2.712,3.679,14.98,4.455,2.642
2026-07-28,-23.6,-46.3,20.803,1.332,63.607,16.224,14.624,2.653,3.276,14.882,4.394,2.762
2026-07-28,-23.5,-46.8,21.001,1.176,62.773,16.385,14.486,2.682,2.937,14.68,4.189,3.052
2026-07-28,-23.5,-46.7,22.21,0.337,55.413,17.019,14.955,2.443,1.658,12.187,2.737,3.238
2026-07-28,-23.5,-46.6,22.254,0.337,55.198,17.058,14.901,2.468,1.658,12.382,2.7,3.252
2026-07-28,-23.5,-46.4,20.857,1.473,63.217,15.993,14.563,2.837,3.499,15.483,4.328,3.013
2026-07-28,-23.5,-46.3,20.53,1.522,64.465,15.973,14.334,2.726,3.635,15.142,4.328,2.56
2026-07-28,-23.4,-46.8,21.455,0.746,60.662,17.203,14.412,2.213,2.361,12.873,3.386,2.939
2026-07-28,-23.4,-46.7,21.152,0.748,62.337,17.269,14.017,2.161,2.444,11.91,3.395,2.606
2026-07-28,-23.4,-46.6,21.161,0.806,62.165,17.148,14.01,2.199,2.54,12.301,3.552,2.623
2026-07-28,-23.4,-46.5,21.21,0.877,62.264,17.111,14.041,2.307,2.619,13.065,3.772,2.72
2026-07-28,-23.4,-46.4,21.013,1.366,62.554,16.356,14.48,2.626,3.387,15.067,4.383,2.737
2026-07-29,-23.8,-46.8,21.35,0.686,62.22,17.173,14.427,2.174,2.17,12.243,3.458,3.136
2026-07-29,-23.8,-46.7,18.139,1.387,79.027,14.893,13.847,2.136,2.737,7.889,3.731,2.859
2026-07-29,-23.8,-46.6,17.693,1.657,81.389,14.72,14.007,2.252,3.296,5.907,3.301,3.387
2026-07-29,-23.8,-46.5,17.818,1.648,81.039,14.099,14.17,1.963,3.042,6.124,3.462,3.309
2026-07-29,-23.7,-46.8,20.956,1.341,63.293,16.325,14.439,2.634,3.381,14.758,4.201,2.879
2026-07-29,-23.7,-46.5,19.607,1.086,71.529,17.013,12.898,2.671,2.512,10.905,3.455,2.294
2026-07-29,-23.7,-46.4,18.007,1.587,79.808,15.097,13.371,2.239,3.243,7.782,3.863,2.888
2026-07-29,-23.6,-46.8,20.965,1.376,62.671,16.121,14.485,2.775,3.404,15.097,4.121,3.005
2026-07-29,-23.6,-46.4,20.614,1.388,63.948,16.257,14.266,2.618,3.538,14.639,4.298,2.614
2026-07-29,-23.6,-46.3,20.906,1.407,63.188,16.196,15.041,2.684,3.328,15.589,4.432,3.232
2026-07-29,-23.5,-46.8,20.983,1.176,62.766,16.313,14.485,2.68,2.937,14.764,4.19,2.891
2026-07-29,-23.5,-46.7,22.269,0.336,55.204,17.064,14.971,2.453,1.658,12.346,2.742,3.228
2026-07-29,-23.5,-46.6,22.257,0.337,55.203,17.074,14.921,2.471,1.658,12.381,2.721,3.246
2026-07-29,-23.5,-46.4,21.009,1.319,62.565,16.196,14.545,2.691,3.362,14.886,4.183,3.041
2026-07-29,-23.5,-46.3,20.641,1.378,63.864,16.201,14.194,2.611,3.524,14.69,4.259,2.56
2026-07-29,-23.4,-46.8,21.611,0.806,60.25,17.087,14.461,2.303,2.464,13.166,3.4,3.198
2026-07-29,-23.4,-46.7,21.343,0.746,61.187,17.13,14.304,2.142,2.374,12.767,3.461,2.865
2026-07-29,-23.4,-46.6,21.275,0.8,61.465,17.12,14.331,2.212,2.47,13.01,3.636,2.922
2026-07-29,-23.4,-46.5,21.243,0.95,61.642,16.85,14.431,2.316,2.703,13.699,3.764,2.917
2026-07-29,-23.4,-46.4,21.027,1.442,62.669,16.221,14.487,2.649,3.387,15.285,4.404,2.835
2026-07-30,-23.8,-46.8,21.309,0.835,62.272,16.874,14.679,2.299,2.284,13.288,3.482,3.407
2026-07-30,-23.8,-46.7,18.744,1.428,76.42,15.535,13.399,2.474,2.824,9.779,3.783,2.832
2026-07-30,-23.8,-46.6,17.918,1.83,80.976,14.234,14.047,2.011,3.707,6.177,3.6,3.446
2026-07-30,-23.8,-46.5,17.916,1.714,80.854,13.974,14.356,1.889,3.122,6.282,3.502,3.243
2026-07-30,-23.7,-46.8,21.051,1.312,62.724,16.336,14.406,2.595,3.358,14.731,4.214,2.899
2026-07-30,-23.7,-46.5,20.678,0.832,66.449,17.364,13.855,2.195,2.395,11.296,3.519,3.262
2026-07-30,-23.7,-46.4,17.901,1.538,80.077,14.859,13.388,2.171,2.837,7.82,3.792,2.744
2026-07-30,-23.6,-46.8,20.982,1.325,62.562,16.137,14.523,2.737,3.369,14.943,4.122,3.008
2026-07-30,-23.6,-46.4,20.588,1.397,63.829,16.221,14.317,2.671,3.567,14.975,4.364,2.629
2026-07-30,-23.6,-46.3,20.859,1.468,63.471,16.094,14.945,2.73,3.425,15.709,4.531,3.197
2026-07-30,-23.5,-46.8,21.037,1.175,62.524,16.302,14.489,2.684,2.937,14.82,4.191,2.883
2026-07-30,-23.5,-46.7,22.399,0.335,54.72,17.134,14.907,2.357,1.658,12.061,2.738,3.266
2026-07-30,-23.5,-46.6,22.384,0.334,54.682,17.113,14.908,2.377,1.658,12.103,2.751,3.263
2026-07-30,-23.5,-46.4,20.921,1.42,62.842,16.019,14.505,2.797,3.466,15.327,4.321,2.986
2026-07-30,-23.5,-46.3,20.64,1.396,63.51,16.183,14.286,2.666,3.567,14.992,4.314,2.619
2026-07-30,-23.4,-46.8,21.625,0.81,60.561,17.096,14.403,2.266,2.436,13.036,3.365,3.192
2026-07-30,-23.4,-46.7,21.209,0.801,62.093,16.964,14.519,2.421,2.417,13.352,3.494,3.145
2026-07-30,-23.4,-46.6,21.216,0.916,62.212,16.924,14.461,2.453,2.628,13.553,3.712,3.153
2026-07-30,-23.4,-46.5,21.027,0.934,62.931,16.769,14.414,2.483,2.577,13.904,3.719,3.032
2026-07-30,-23.4,-46.4,20.866,1.362,63.435,16.159,14.407,2.722,3.262,15.228,4.421,2.879
2026-07-31,-23.8,-46.8,21.1,0.894,63.425,16.853,14.568,2.417,2.322,13.446,3.426,2.99
2026-07-31,-23.8,-46.7,19.876,0.79,70.261,17.365,12.767,2.585,2.005,10.228,3.193,2.17
