data,latitude,longitude,temperatura_c,precipitacao_mm,umidade_pct,radiacao_mj_m2,vento_kmh,variaveis_reais
2025-11-16,-23.8,-46.8,20.1,8.3,89.0,10.69,17.6,5
2025-11-17,-23.8,-46.8,20.5,21.5,93.0,11.88,16.3,5
2025-11-18,-23.8,-46.8,19.7,15.5,87.0,11.75,26.0,5
2025-11-19,-23.8,-46.8,18.2,0.0,71.0,25.64,16.5,5
2025-11-20,-23.8,-46.8,16.8,0.0,77.0,26.95,15.3,5
2025-11-21,-23.8,-46.8,20.2,0.0,67.0,28.45,14.0,5
2025-11-22,-23.8,-46.8,20.6,1.6,78.0,20.8,11.2,5
2025-11-23,-23.8,-46.8,19.0,3.2,87.0,16.2,15.6,5
2025-11-24,-23.8,-46.8,17.7,22.3,93.0,10.94,12.5,5
2025-11-25,-23.8,-46.8,17.5,0.3,83.0,21.03,16.1,5
2025-11-26,-23.8,-46.8,17.3,0.0,78.0,30.31,14.7,5
2025-11-27,-23.8,-46.8,16.6,0.0,79.0,24.97,14.4,5
2025-11-28,-23.8,-46.8,20.1,0.4,78.0,25.09,10.2,5
2025-11-29,-23.8,-46.8,21.2,0.0,69.0,30.16,12.5,5
2025-11-30,-23.8,-46.8,21.4,0.0,73.0,28.89,14.3,5
2025-12-01,-23.8,-46.8,21.3,0.6,84.0,21.8,13.3,5
2025-12-02,-23.8,-46.8,21.1,8.3,87.0,14.7,15.2,5
2025-12-03,-23.8,-46.8,20.6,5.7,83.0,21.93,13.2,5
2025-12-04,-23.8,-46.8,18.5,0.9,84.0,20.56,17.3,5
2025-12-05,-23.8,-46.8,19.5,0.0,81.0,25.32,16.0,5
2025-12-06,-23.8,-46.8,21.2,0.7,81.0,25.53,12.8,5
2025-12-07,-23.8,-46.8,22.0,0.5,81.0,23.32,11.3,5
2025-12-08,-23.8,-46.8,21.3,25.5,88.0,14.01,15.9,5
2025-12-09,-23.8,-46.8,19.5,22.3,96.0,6.46,28.2,5
2025-12-10,-23.8,-46.8,22.5,1.8,70.0,24.0,42.0,5
2025-12-11,-23.8,-46.8,22.6,0.0,60.0,29.32,24.4,5
2025-12-12,-23.8,-46.8,21.4,4.6,76.0,16.3,17.9,5
2025-12-13,-23.8,-46.8,20.8,17.9,90.0,14.58,20.8,5
2025-12-14,-23.8,-46.8,21.7,4.2,86.0,12.07,18.5,5
2025-12-15,-23.8,-46.8,23.6,1.6,81.0,22.29,15.1,5
2025-12-16,-23.8,-46.8,22.6,12.0,87.0,19.48,22.7,5
2025-12-17,-23.8,-46.8,16.5,3.5,88.0,8.64,26.4,5
2025-12-18,-23.8,-46.8,18.2,0.1,82.0,12.93,13.1,5
2025-12-19,-23.8,-46.8,19.5,0.4,87.0,12.55,14.1,5
2025-12-20,-23.8,-46.8,21.0,0.3,82.0,23.01,14.7,5
2025-12-21,-23.8,-46.8,22.6,0.0,73.0,28.08,15.4,5
2025-12-22,-23.8,-46.8,24.0,0.2,69.0,28.26,12.9,5
2025-12-23,-23.8,-46.8,24.6,0.6,66.0,26.62,14.2,5
2025-12-24,-23.8,-46.8,25.1,0.6,65.0,26.97,10.7,5
2025-12-25,-23.8,-46.8,25.8,0.6,69.0,27.22,8.9,5
2025-12-26,-23.8,-46.8,25.4,1.6,73.0,23.72,14.8,5
2025-12-27,-23.8,-46.8,25.0,1.3,76.0,25.48,10.5,5
2025-12-28,-23.8,-46.8,25.3,8.1,77.0,27.27,14.9,5
2025-12-29,-23.8,-46.8,24.8,2.6,80.0,23.85,12.0,5
2025-12-30,-23.8,-46.8,23.8,36.5,86.0,25.35,12.8,5
2025-12-31,-23.8,-46.8,23.5,14.4,84.0,21.11,19.3,5
2026-01-01,-23.8,-46.8,23.7,1.1,80.0,20.8,20.8,5
2026-01-02,-23.8,-46.8,22.6,7.3,85.0,16.87,20.2,5
2026-01-03,-23.8,-46.8,23.3,1.1,77.0,22.01,19.0,5
2026-01-04,-23.8,-46.8,19.1,4.0,89.0,17.62,18.4,5
2026-01-05,-23.8,-46.8,17.8,0.4,86.0,13.45,19.1,5
2026-01-06,-23.8,-46.8,20.0,0.5,79.0,21.61,15.5,5
2026-01-07,-23.8,-46.8,21.6,7.1,81.0,22.15,12.5,5
2026-01-08,-23.8,-46.8,22.0,13.2,83.0,23.52,12.9,5
2026-01-09,-23.8,-46.8,22.9,5.6,83.0,24.52,11.0,5
2026-01-10,-23.8,-46.8,24.3,17.1,74.0,27.67,12.8,5
2026-01-11,-23.8,-46.8,24.2,0.6,75.0,28.0,17.5,5
2026-01-12,-23.8,-46.8,23.6,1.4,76.0,25.24,13.6,5
2026-01-13,-23.8,-46.8,22.1,4.3,81.0,18.01,14.6,5
2026-01-14,-23.8,-46.8,20.8,11.5,88.0,18.97,12.4,5
2026-01-15,-23.8,-46.8,21.5,11.7,86.0,16.87,13.0,5
2026-01-16,-23.8,-46.8,21.4,29.1,88.0,17.24,13.0,5
2026-01-17,-23.8,-46.8,21.7,12.9,87.0,18.57,12.6,5
2026-01-18,-23.8,-46.8,21.9,8.4,86.0,18.3,16.6,5
2026-01-19,-23.8,-46.8,19.2,31.0,95.0,11.58,32.0,5
2026-01-20,-23.8,-46.8,17.4,2.8,83.0,15.92,20.6,5
2026-01-21,-23.8,-46.8,16.7,1.9,85.0,11.82,16.4,5
2026-01-22,-23.8,-46.8,17.1,5.6,89.0,11.02,17.8,5
2026-01-23,-23.8,-46.8,18.3,3.9,90.0,19.66,17.6,5
2026-01-24,-23.8,-46.8,19.6,2.7,89.0,14.12,15.9,5
2026-01-25,-23.8,-46.8,20.2,4.8,89.0,17.55,12.2,5
2026-01-26,-23.8,-46.8,20.6,4.8,87.0,22.88,13.5,5
2026-01-27,-23.8,-46.8,21.1,4.2,87.0,21.73,16.1,5
2026-01-28,-23.8,-46.8,21.6,3.7,84.0,19.85,12.0,5
2026-01-29,-23.8,-46.8,20.6,10.5,88.0,22.34,15.1,5
2026-01-30,-23.8,-46.8,19.8,24.9,90.0,12.87,15.7,5
2026-01-31,-23.8,-46.8,21.6,0.6,82.0,19.54,16.6,5
2026-02-01,-23.8,-46.8,21.8,8.8,86.0,13.56,23.2,5
2026-02-02,-23.8,-46.8,21.0,4.4,91.0,13.41,14.0,5
2026-02-03,-23.8,-46.8,21.1,28.6,93.0,13.67,13.5,5
2026-02-04,-23.8,-46.8,21.6,17.5,90.0,15.53,15.8,5
2026-02-05,-23.8,-46.8,21.1,1.6,88.0,17.62,13.9,5
2026-02-06,-23.8,-46.8,21.9,1.5,85.0,18.6,14.4,5
2026-02-07,-23.8,-46.8,22.2,7.1,88.0,13.56,11.4,5
2026-02-08,-23.8,-46.8,20.5,8.4,88.0,16.3,13.8,5
2026-02-09,-23.8,-46.8,19.8,5.4,92.0,10.48,11.6,5
2026-02-10,-23.8,-46.8,20.7,5.9,89.0,14.21,20.1,5
2026-02-11,-23.8,-46.8,21.9,6.4,84.0,15.88,21.3,5
2026-02-12,-23.8,-46.8,23.7,1.7,78.0,19.93,17.5,5
2026-02-13,-23.8,-46.8,24.4,8.3,76.0,25.0,14.1,5
2026-02-14,-23.8,-46.8,22.4,1.5,85.0,17.96,17.3,5
2026-02-15,-23.8,-46.8,23.0,0.0,82.0,26.23,13.4,5
2026-02-16,-23.8,-46.8,23.5,0.7,80.0,26.34,10.2,5
2026-02-17,-23.8,-46.8,23.7,1.8,79.0,21.42,11.8,5
2026-02-18,-23.8,-46.8,22.8,1.7,83.0,19.64,10.6,5
2026-02-19,-23.8,-46.8,22.1,1.9,87.0,20.28,12.6,5
2026-02-20,-23.8,-46.8,22.7,0.2,82.0,22.92,12.1,5
2026-02-21,-23.8,-46.8,21.9,6.2,89.0,16.59,14.1,5
2026-02-22,-23.8,-46.8,20.4,10.6,91.0,16.91,16.3,5
2026-02-23,-23.8,-46.8,20.5,24.0,95.0,13.08,13.1,5
2026-02-24,-23.8,-46.8,21.4,9.9,91.0,14.29,9.7,5
2026-02-25,-23.8,-46.8,22.3,25.5,89.0,14.62,11.7,5
2026-02-26,-23.8,-46.8,20.2,4.4,96.0,10.21,22.7,5
2026-02-27,-23.8,-46.8,19.3,2.6,88.0,12.81,18.8,5
2026-02-28,-23.8,-46.8,18.6,0.1,80.0,20.74,14.3,5
2026-03-01,-23.8,-46.8,18.1,0.0,78.0,21.61,15.9,5
2026-03-02,-23.8,-46.8,18.2,0.3,81.0,20.99,14.1,5
2026-03-03,-23.8,-46.8,18.5,0.1,81.0,19.81,12.4,5
2026-03-04,-23.8,-46.8,19.2,0.1,83.0,22.73,13.3,5
2026-03-05,-23.8,-46.8,20.4,1.3,86.0,20.69,13.7,5
2026-03-06,-23.8,-46.8,21.6,2.7,88.0,13.49,11.2,5
2026-03-07,-23.8,-46.8,21.5,15.8,90.0,14.63,15.5,5
2026-03-08,-23.8,-46.8,21.0,9.0,88.0,18.57,13.9,5
2026-03-09,-23.8,-46.8,19.3,6.8,95.0,6.46,14.3,5
2026-03-10,-23.8,-46.8,18.9,22.0,97.0,7.29,10.9,5
2026-03-11,-23.8,-46.8,19.2,42.2,99.0,7.16,10.3,5
2026-03-12,-23.8,-46.8,19.2,28.7,99.0,6.96,16.1,5
2026-03-13,-23.8,-46.8,19.7,1.8,89.0,11.07,12.4,5
2026-03-14,-23.8,-46.8,20.6,0.6,81.0,24.85,7.7,5
2026-03-15,-23.8,-46.8,22.0,1.3,80.0,21.38,12.3,5
2026-03-16,-23.8,-46.8,22.4,0.0,78.0,25.37,12.1,5
2026-03-17,-23.8,-46.8,21.1,0.1,82.0,21.83,14.2,5
2026-03-18,-23.8,-46.8,21.3,14.7,89.0,18.29,12.8,5
2026-03-19,-23.8,-46.8,20.7,7.6,94.0,9.13,8.6,5
2026-03-20,-23.8,-46.8,20.5,0.8,85.0,17.46,13.1,5
2026-03-21,-23.8,-46.8,21.2,0.1,84.0,22.43,12.6,5
2026-03-22,-23.8,-46.8,21.9,0.0,79.0,20.02,11.3,5
2026-03-23,-23.8,-46.8,21.1,0.0,80.0,24.45,12.2,5
2026-03-24,-23.8,-46.8,20.8,0.0,82.0,24.06,16.5,5
2026-03-25,-23.8,-46.8,21.1,1.2,84.0,18.97,11.9,5
2026-03-26,-23.8,-46.8,22.1,3.4,85.0,18.88,6.6,5
2026-03-27,-23.8,-46.8,21.8,0.0,80.0,23.34,14.7,5
2026-03-28,-23.8,-46.8,21.0,0.0,82.0,23.31,15.4,5
2026-03-29,-23.8,-46.8,21.4,0.0,84.0,22.41,11.2,5
2026-03-30,-23.8,-46.8,20.0,0.5,84.0,18.37,12.8,5
2026-03-31,-23.8,-46.8,19.0,21.7,92.0,11.26,11.7,5
2026-04-01,-23.8,-46.8,19.4,16.4,90.0,17.02,13.5,5
2026-04-02,-23.8,-46.8,21.0,11.9,87.0,17.14,16.2,5
2026-04-03,-23.8,-46.8,21.6,2.5,84.0,19.5,13.4,5
2026-04-04,-23.8,-46.8,21.9,1.2,85.0,18.91,11.5,5
2026-04-05,-23.8,-46.8,20.9,1.8,86.0,17.93,13.8,5
2026-04-06,-23.8,-46.8,21.5,2.0,87.0,18.38,13.2,5
2026-04-07,-23.8,-46.8,21.5,7.1,89.0,13.61,11.9,5
2026-04-08,-23.8,-46.8,21.8,1.1,84.0,12.19,18.7,5
2026-04-09,-23.8,-46.8,20.3,1.8,87.0,13.82,12.5,5
2026-04-10,-23.8,-46.8,18.0,3.7,87.0,7.24,11.2,5
2026-04-11,-23.8,-46.8,18.2,0.0,81.0,20.66,15.2,5
2026-04-12,-23.8,-46.8,19.0,0.0,82.0,20.33,13.6,5
2026-04-13,-23.8,-46.8,19.5,0.4,85.0,17.62,11.0,5
2026-04-14,-23.8,-46.8,18.8,0.0,81.0,19.79,14.0,5
2026-04-15,-23.8,-46.8,19.0,0.0,83.0,21.22,12.0,5
2026-04-16,-23.8,-46.8,19.4,0.0,83.0,19.9,11.4,5
2026-04-17,-23.8,-46.8,20.8,0.1,77.0,19.7,11.2,5
2026-04-18,-23.8,-46.8,20.7,2.3,78.0,16.4,16.4,5
2026-04-19,-23.8,-46.8,19.7,0.0,84.0,20.82,11.3,5
2026-04-20,-23.8,-46.8,18.4,0.0,84.0,20.96,11.1,5
2026-04-21,-23.8,-46.8,18.0,0.0,83.0,20.48,12.8,5
2026-04-22,-23.8,-46.8,18.8,0.0,83.0,18.49,12.0,5
2026-04-23,-23.8,-46.8,19.0,0.1,85.0,17.41,14.3,5
2026-04-24,-23.8,-46.8,19.8,0.0,83.0,17.61,13.1,5
2026-04-25,-23.8,-46.8,20.9,0.0,75.0,17.53,16.9,5
2026-04-26,-23.8,-46.8,21.9,0.0,71.0,17.52,18.3,5
2026-04-27,-23.8,-46.8,19.8,10.7,92.0,10.41,14.8,5
2026-04-28,-23.8,-46.8,19.5,11.1,94.0,10.37,10.9,5
2026-04-29,-23.8,-46.8,19.5,12.5,93.0,11.08,14.2,5
2026-04-30,-23.8,-46.8,19.2,3.0,89.0,12.99,12.8,5
2026-05-01,-23.8,-46.8,20.7,0.5,87.0,14.2,11.7,5
2026-05-02,-23.8,-46.8,21.2,0.1,75.0,12.3,16.5,5
2026-05-03,-23.8,-46.8,16.5,0.8,87.0,9.02,17.7,5
2026-05-04,-23.8,-46.8,18.1,1.6,85.0,15.78,14.0,5
2026-05-05,-23.8,-46.8,20.2,0.5,84.0,15.74,8.2,5
2026-05-06,-23.8,-46.8,20.7,0.0,80.0,17.47,11.0,5
2026-05-07,-23.8,-46.8,21.2,0.0,71.0,17.35,15.1,5
2026-05-08,-23.8,-46.8,22.2,0.0,64.0,12.1,22.7,5
2026-05-09,-23.8,-46.8,21.3,0.2,75.0,8.81,19.5,5
2026-05-10,-23.8,-46.8,13.2,11.7,97.0,2.46,14.3,5
2026-05-11,-23.8,-46.8,11.9,0.0,80.0,14.87,9.6,5
2026-05-12,-23.8,-46.8,12.5,0.0,82.0,17.73,8.7,5
2026-05-13,-23.8,-46.8,14.7,0.0,79.0,16.19,8.2,5
2026-05-14,-23.8,-46.8,17.1,0.0,77.0,13.19,11.6,5
2026-05-15,-23.8,-46.8,15.7,7.6,96.0,5.3,13.2,5
2026-05-16,-23.8,-46.8,17.6,16.9,89.0,13.52,12.7,5
2026-05-17,-23.8,-46.8,17.4,7.9,95.0,4.23,15.0,5
2026-05-18,-23.8,-46.8,16.5,3.5,95.0,6.29,11.2,5
2026-05-19,-23.8,-46.8,15.7,3.2,94.0,4.24,10.7,5
2026-05-20,-23.8,-46.8,16.5,4.8,90.0,9.72,9.4,5
2026-05-21,-23.8,-46.8,14.5,0.1,90.0,6.67,14.0,5
2026-05-22,-23.8,-46.8,13.9,0.7,91.0,5.99,12.1,5
2026-05-23,-23.8,-46.8,15.6,27.1,95.0,4.77,9.1,5
2026-05-24,-23.8,-46.8,17.1,21.6,95.0,9.14,14.6,5
2026-05-25,-23.8,-46.8,17.0,0.1,88.0,9.57,11.0,5
2026-05-26,-23.8,-46.8,18.7,2.3,88.0,13.84,12.5,5
2026-05-27,-23.8,-46.8,16.3,1.2,90.0,7.04,12.3,5
2026-05-28,-23.8,-46.8,14.5,0.1,85.0,14.99,10.7,5
2026-05-29,-23.8,-46.8,15.5,0.2,88.0,10.6,12.6,5
2026-05-30,-23.8,-46.8,16.8,0.2,85.0,12.02,11.1,5
2026-05-31,-23.8,-46.8,16.1,0.2,85.0,12.65,10.2,5
2026-06-01,-23.8,-46.8,14.6,0.0,84.0,11.77,12.0,5
2026-06-02,-23.8,-46.8,14.4,0.2,87.0,9.89,11.4,5
2026-06-03,-23.8,-46.8,16.1,0.6,86.0,12.85,11.6,5
2026-06-04,-23.8,-46.8,16.2,0.0,85.0,10.9,12.5,5
2026-06-05,-23.8,-46.8,14.8,0.0,84.0,14.14,11.3,5
2026-06-06,-23.8,-46.8,14.5,0.0,81.0,15.04,10.5,5
2026-06-07,-23.8,-46.8,14.3,0.0,78.0,15.16,9.7,5
2026-06-08,-23.8,-46.8,14.6,0.0,77.0,15.12,11.8,5
2026-06-09,-23.8,-46.8,15.1,0.0,73.0,12.38,12.8,5
2026-06-10,-23.8,-46.8,15.5,3.5,81.0,11.86,11.4,5
2026-06-11,-23.8,-46.8,15.3,7.5,92.0,7.65,11.5,5
2026-06-12,-23.8,-46.8,16.2,2.2,91.0,4.7,25.2,5
2026-06-13,-23.8,-46.8,17.8,0.5,85.0,10.29,18.3,5
2026-06-14,-23.8,-46.8,17.9,1.5,88.0,8.35,15.8,5
2026-06-15,-23.8,-46.8,14.9,17.7,98.0,4.31,11.0,5
2026-06-16,-23.8,-46.8,14.2,0.4,94.0,10.97,9.6,5
2026-06-17,-23.8,-46.8,13.7,0.0,84.0,14.5,11.0,5
2026-06-18,-23.8,-46.8,12.7,0.0,80.0,14.83,11.2,5
2026-06-19,-23.8,-46.8,14.7,0.0,80.0,14.71,14.6,5
2026-06-20,-23.8,-46.8,16.3,6.2,82.0,4.91,22.2,5
2026-06-21,-23.8,-46.8,14.4,0.0,83.0,14.62,9.7,5
2026-06-22,-23.8,-46.8,16.6,0.0,72.0,14.71,17.8,5
2026-06-23,-23.8,-46.8,16.2,23.7,93.0,2.54,18.1,5
2026-06-24,-23.8,-46.8,11.4,14.7,97.0,1.4,9.4,5
2026-06-25,-23.8,-46.8,10.7,1.1,96.0,3.25,11.8,5
2026-06-26,-23.8,-46.8,14.7,0.0,91.0,10.99,7.3,5
2026-06-27,-23.8,-46.8,17.1,0.6,89.0,13.7,8.7,5
2026-06-28,-23.8,-46.8,17.7,0.0,82.0,14.27,13.6,5
2026-06-29,-23.8,-46.8,18.2,1.2,82.0,13.89,14.9,5
2026-06-30,-23.8,-46.8,18.6,0.0,80.0,14.31,17.5,5
2026-07-01,-23.8,-46.8,18.6,0.0,74.0,14.29,16.9,5
2026-07-02,-23.8,-46.8,18.0,0.0,76.0,14.4,13.8,5
2026-07-03,-23.8,-46.8,16.8,0.0,80.0,11.4,13.6,5
2026-07-04,-23.8,-46.8,14.0,0.0,90.0,9.53,12.0,5
2026-07-05,-23.8,-46.8,13.7,0.0,89.0,10.68,9.3,5
2026-07-06,-23.8,-46.8,15.6,0.0,83.0,13.42,12.9,5
2026-07-07,-23.8,-46.8,13.8,1.0,91.0,7.66,14.8,5
2026-07-08,-23.8,-46.8,14.6,0.0,84.0,12.89,10.7,5
